pathways,genes
PID_IFNG_PATHWAY,AKT1 CAMK2A CAMK2B CAMK2D CAMK2G CASP1 CBL CEBPB CREBBP CRKL DAPK1 EP300 IFNG IFNGR1 IL1B IRF1 IRF9 JAK1 JAK2 MAP2K1 MAP3K1 MAP3K11 MAPK1 MAPK3 MTOR PIAS1 PIAS4 PIK3CA PIK3R1 PRKCD PTGES2 PTPN11 PTPN2 RAP1A RAPGEF1 SMAD7 SOCS1 STAT1 STAT3
PID_IGF1_PATHWAY,AKT1 BAD BCAR1 CRK CRKL GNB2L1 GRB10 GRB2 HRAS IGF1 IGF1R IRS1 IRS2 NCK2 PDPK1 PIK3CA PIK3R1 PRKCD PRKCZ PRKD1 PTK2 PTPN1 PTPN11 PXN RAF1 RPS6KB1 SHC1 SOS1 YWHAE
PID_IL12_STAT4_PATHWAY,CD247 CD28 CD3D CD3E CD3G CD4 CD80 CD86 CREBBP ETV5 FOS HLA-DRA IFNG IL13 IL18 IL18R1 IL18RAP IL2 IL2RA IRF1 JUN MAPK8 MAPK9 PIAS2 PPP3CA PPP3CB PPP3R1 PRF1 STAT3 STAT4 TBX21 TGFB1
PID_IL1_PATHWAY,CASP1 CHUK ERC1 IKBKB IKBKG IL1A IL1B IL1R1 IL1R2 IL1RAP IL1RN IRAK1 IRAK3 IRAK4 JUN MAP2K6 MAP3K3 MAP3K7 MAPK8 MYD88 NFKB1 PIK3CA PIK3R1 PRKCI PRKCZ RELA SQSTM1 TAB1 TAB2 TOLLIP TRAF6 UBE2N
PID_IL23_PATHWAY,ALOX12B CCL2 CD3E CD4 CXCL1 CXCL9 IFNG IL12B IL12RB1 IL17A IL17F IL18 IL18R1 IL18RAP IL19 IL1B IL2 IL23R IL24 IL6 ITGA3 JAK2 MPO NFKB1 NFKBIA NOS2 PIK3CA PIK3R1 RELA SOCS3 STAT1 STAT3 STAT4 STAT5A TNF TYK2
PID_IL2_PI3K_PATHWAY,AKT1 BCL2 BCL2L1 E2F1 EIF3A FOXO3 GAB2 GRB2 HSP90AA1 IL2 IL2RA IL2RB IL2RG JAK1 JAK3 LCK MTOR MYB MYC NFKB1 PIK3CA PIK3R1 PRKCZ PTPN11 RAC1 RELA RPS6KB1 SGMS1 SHC1 SMPD1 SOS1 TERT UGCG
PID_IL2_STAT5_PATHWAY,BCL2 BCL2L1 CCNA2 CCND2 CCND3 CDK6 ELF1 FASLG FOXP3 GAB2 GRB2 IL2 IL2RA IL2RB IL2RG IL4 JAK1 JAK3 LCK LTA MYC PIK3CA PIK3R1 PRF1 PTPN11 SHC1 SOS1 SP1 STAT5A STAT5B
PID_IL3_PATHWAY,BCL2L1 CEBPB CISH CNKSR1 CSF2RB GAB2 GRB2 HDAC1 ID1 IL3 JAK2 OSM PIK3CA PIK3R1 PIM1 PRKACA PRKACB PRKACG PTPN11 SHC1 SRP9 STAT5A STAT5B YWHAG
PID_IL5_PATHWAY,CISH CSF2RB GRB2 IL5 IL5RA JAK2 LYN PIK3CA PIK3R1 PIM1 PTPN11 SDCBP STAT5A STAT5B
PID_IL6_7_PATHWAY,A2M AKT1 BCL2L1 CEBPB CEBPD CRP FGG FOS FOXO1 GAB1 GAB2 GRB2 HCK HSP90B1 IL6 IL6R IL6ST IRF1 JAK1 JAK2 JUN JUNB LBP LMO4 MAP2K4 MAP2K6 MAPK11 MAPK14 MCL1 MITF MYC PIAS1 PIAS3 PIK3CA PIK3R1 PRKCD PTPN11 PTPRE RAC1 SOCS3 SOS1 STAT1 STAT3 TIMP1 TNFSF11 TYK2 VAV1
PID_IL8_CXCR2_PATHWAY,AKT1 ARRB1 ARRB2 CBL CXCR2 DNM1 DOCK2 ELMO1 FGR GNA14 GNA15 GNAI2 GNB1 GNG2 HCK IL8 LYN PDPK1 PIK3CG PLCB1 PLCB2 PLCB3 PLD2 PPP2CA PPP2R1A PRKCA PRKCB PRKCG RAB11A RAB5A RAB7A RAC2 VASP
PID_INSULIN_GLUCOSE_PATHWAY,AKT1 AKT2 ASIP GSK3B GYS1 INS INSR LNPEP PPP1CC PPP1R3A PRKCI PRKCZ RHOQ SFN SLC2A4 STX4 STXBP4 TBC1D4 TRIP10 VAMP2 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_INSULIN_PATHWAY,AKT1 AKT2 CAV1 CBL CRK DOK1 EIF4EBP1 EXOC1 EXOC2 EXOC3 EXOC4 EXOC5 EXOC6 EXOC7 F2RL2 FOXO3 GRB10 GRB14 GRB2 HRAS INS INSR IRS1 NCK1 NCK2 PARD6A PDPK1 PIK3CA PIK3R1 PRKCI PRKCZ PTPN1 PTPN11 PTPRA RAPGEF1 RASA1 RHOQ RPS6KB1 SGK1 SHC1 SORBS1 SOS1 TRIP10
PID_INTEGRIN2_PATHWAY,C3 CD40LG CYR61 F10 F11R FCGR2A FGA FGB FGG GP1BA ICAM1 ICAM2 ICAM3 ICAM4 ITGAD ITGAL ITGAM ITGAX ITGB2 JAM3 KNG1 PLAT PLAU PLAUR PROC SPON2 TGFBI THY1 VCAM1
PID_INTEGRIN3_PATHWAY,CD47 COL1A1 COL1A2 COL4A1 COL4A3 COL4A4 COL4A5 COL4A6 CYR61 EDIL3 F11R FBN1 FGA FGB FGG FN1 IBSP ITGA2B ITGAV ITGB3 KDR L1CAM LAMA4 LAMB1 LAMC1 PDGFB PDGFRB PLAU PLAUR PVR SDC1 SDC4 SPHK1 SPP1 TGFBI TGFBR2 THBS1 THY1 TNC VEGFA VTN
PID_INTEGRIN4_PATHWAY,ITGA6 ITGB4 LAMA1 LAMA2 LAMA3 LAMA5 LAMB1 LAMB2 LAMB3 LAMC1 LAMC2
PID_INTEGRIN5_PATHWAY,CYR61 EDIL3 FBN1 FN1 ITGA4 ITGAV ITGB5 ITGB6 ITGB7 ITGB8 MADCAM1 PLAU PLAUR SDC1 TGFBR1 VCAM1 VTN
PID_INTEGRIN_A4B1_PATHWAY,ABI1 ADAM28 AMICA1 ARF6 BCAR1 CD14 CD81 CRK DOCK1 FN1 GIT1 IGSF8 ITGA4 ITGB1 JAM2 MDK MYH2 PRKACA PRKACB PRKAR1A PRKAR1B PTK2 PTK2B PTPRA PXN RAC1 SPP1 SRC THBS1 THBS2 TLN1 VCAM1
PID_INTEGRIN_A9B1_PATHWAY,ADAM12 ADAM15 ADAM2 ADAM8 BCAR1 CSF2 F13A1 FIGF FN1 ITGA9 ITGB1 KCNJ15 NOS2 PAOX PXN RAC1 SAT1 SPP1 SRC TGM2 TNC VCAM1 VEGFA VEGFC
PID_INTEGRIN_CS_PATHWAY,ITGA1 ITGA10 ITGA11 ITGA2 ITGA2B ITGA3 ITGA4 ITGA5 ITGA6 ITGA7 ITGA8 ITGA9 ITGAD ITGAE ITGAL ITGAM ITGAV ITGAX ITGB1 ITGB2 ITGB3 ITGB4 ITGB5 ITGB6 ITGB7 ITGB8
PID_LIS1_PATHWAY,ABL1 CDC42 CDK5 CDK5R1 CDK5R2 CLIP1 CSNK2A1 DAB1 DCX DYNC1H1 DYNLT1 IQGAP1 KATNA1 LRP8 LRPAP1 MAP1B NDEL1 NUDC PAFAH1B1 PAFAH1B2 PAFAH1B3 PLA2G7 PPP2R5D RAC1 RELN RHOA VLDLR YWHAE
PID_LKB1_PATHWAY,AKT1S1 BRSK1 BRSK2 CAB39 CDC37 CREB1 CRTC2 CTSD ESR1 ETV4 EZR GSK3B HSP90AA1 MAP2 MAPT MARK2 MARK4 MLST8 MST4 MTOR MYC PRKAA1 PRKAA2 PRKAB1 PRKACA PRKAG1 PSEN2 RPTOR SFN SIK1 SIK2 SIK3 SMAD4 SMARCD3 STK11 STK11IP STRADA STRADB TP53 TSC1 TSC2 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_LYMPH_ANGIOGENESIS_PATHWAY,AKT1 COL1A1 COL1A2 CREB1 CRK FIGF FLT4 FN1 GRB2 ITGA1 ITGA2 ITGA4 ITGA5 ITGB1 MAP2K4 MAPK1 MAPK11 MAPK14 MAPK3 PIK3CA PIK3R1 RPS6KA1 SHC1 SOS1 VEGFC
PID_MAPK_TRK_PATHWAY,BRAF CDK5 CDK5R1 CREB1 EGR1 EHD4 ELK1 FOS HRAS KRAS MAP2K1 MAP2K3 MAP2K5 MAP2K6 MAP3K2 MAPK1 MAPK14 MAPK3 MAPK7 MAPKAPK2 MEF2C NRAS NTF3 PRKCD RAF1 RAP1A RIT1 RIT2 RPS6KA1 RPS6KA5 RUSC1 SRF TRPV1
PID_NEPHRIN_NEPH1_PATHWAY,AKT1 ARRB2 BAD CD2AP F2RL2 FYN GRB2 JUN KIRREL MAP2K4 MAPK10 MAPK8 MAPK9 NCK1 NCK2 NPHS1 NPHS2 PARD6A PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PLCG1 PRKCI PRKCZ RAC1 TJP1 TRPC6 WASL
PID_NETRIN_PATHWAY,AGAP2 BCAR1 CAMK2A CDC42 DAPK1 DCC DOCK1 ELMO1 FYN MAP1B MAP2K1 MAP2K2 MAPK1 MAPK3 MYO10 NCK1 NTN1 PAK1 PIK3CA PIK3R1 PITPNA PLCG1 PTK2 RAC1 RHOA SRC TRIO UNC5A UNC5B UNC5C WASL YES1
PID_NFKAPPAB_ATYPICAL_PATHWAY,ARRB2 BCL3 CSNK2A1 CSNK2A2 CSNK2B IKBKB LCK MAPK14 NFKB1 NFKBIA PIK3CA PIK3R1 REL RELA SRC SYK
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,ATF1 ATF2 ATF6 CEBPB CREB1 CSNK2A1 CSNK2A2 CSNK2B DDIT3 EIF4E EIF4EBP1 ELK4 ESR1 GDI1 HBP1 HSPB1 JUN KRT19 MAPK11 MAPK14 MAPKAPK2 MAPKAPK3 MAPKAPK5 MEF2A MEF2C MITF MKNK1 NOS2 PLA2G4A PPARGC1A PTGS2 RAB5A RPS6KA4 RPS6KA5 SLC9A1 TP53 USF1
PID_P38_ALPHA_BETA_PATHWAY,BLK CCM2 CDC42 DUSP1 DUSP10 DUSP16 DUSP8 FGR FYN HCK LCK LYN MAP2K3 MAP2K4 MAP2K6 MAP3K12 MAP3K3 MAPK11 MAPK14 PAK1 PAK2 PAK3 PRKG1 RAC1 RALA RALB RIPK1 SRC TAB1 TRAF6 YES1
PID_P38_GAMMA_DELTA_PATHWAY,CCND1 EEF2K MAP2K3 MAP2K6 MAPK12 MAPK13 MAPT PKN1 SNTA1 STMN1
PID_P38_MK2_PATHWAY,CDC25B CREB1 ETV1 HSPB1 LSP1 MAPK11 MAPK14 MAPKAPK2 MAPKAPK3 RAF1 SFN SRF TCF3 TH TSC2 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_PDGFRA_PATHWAY,CAV1 CAV3 CRK CRKL CSNK2A1 ELK1 FOS GRB2 IFNG ITGAV JAK1 JUN PDGFRA PIK3CA PIK3R1 PLCG1 RAPGEF1 SHB SHC1 SHF SOS1 SRF
PID_PI3KCI_AKT_PATHWAY,AKT1 AKT2 AKT3 BAD BCL2L1 CASP9 CDKN1A CDKN1B CHUK FOXO1 FOXO3 FOXO4 GSK3A GSK3B HSP90AA1 KPNA1 MAP3K5 MAPKAP1 MLST8 MTOR PDPK1 PRKACA RAF1 RICTOR SFN SLC2A4 SRC TBC1D4 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_PI3KCI_PATHWAY,ADAP1 ARAP3 ARF1 ARF5 ARF6 BLK BLNK BTK CYTH1 CYTH2 CYTH3 DAPP1 FGR FOXO3 FYN HCK HRAS HSP90AA1 INPPL1 ITK KRAS LAT LCK LYN NRAS PDPK1 PIK3CA PIK3CB PIK3CD PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R5 PLCG1 PLCG2 PLEKHA1 PLEKHA2 PTEN RAC1 RAP1A RHOA SGK1 SRC SYK YES1 ZAP70
PID_PI3K_PLC_TRK_PATHWAY,AGAP2 AKT1 BAD CAMK2A CAMK4 CCND1 CREB1 EGR1 EPB41L1 FOXO3 GAB1 GRB2 GSK3B HRAS KRAS NGF NRAS NTRK1 PDPK1 PIK3CA PIK3R1 PLCG1 PRKCD SFN SHC1 SOS1 SRC STAT5A TRPC3 TRPV1 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_PLK1_PATHWAY,AURKA BORA BUB1 BUB1B CCNB1 CDC14B CDC20 CDC25B CDC25C CDK1 CENPE CLSPN ECT2 ERCC6L FBXO5 FBXW11 FZR1 GOLGA2 GORASP1 INCENP KIF20A KIF2A MLF1IP NDC80 NINL NUDC ODF2 PAK1 PLK1 PPP1CB PPP1R12A PPP2CA PPP2R1A PRC1 RAB1A RHOA ROCK2 SGOL1 SPC24 STAG2 TPT1 TPX2 TUBG1 WEE1
PID_PS1_PATHWAY,ADAM10 AES APC APH1A APH1B AXIN1 CCND1 CREBBP CSNK1A1 CSNK2A1 CTBP1 CTNNB1 DKK1 DKK2 DLL1 DTX1 DVL1 FBXW11 FOS FRAT1 FZD1 GSK3B HDAC1 HNF1A JUN KREMEN2 LRP6 MAP3K7 MAPK1 MAPK3 MYC NCSTN NEDD4 NKD1 NLK NOTCH1 PPARD PPP2R5D PSEN1 PSENEN RBPJ TAB1 TLE1 WIF1 WNT1
PID_RANBP2_PATHWAY,HDAC1 HDAC4 MDM2 PIAS1 PIAS2 RAN RANBP2 RANGAP1 UBE2I XPO1
PID_RAS_PATHWAY,CAMK2B DAB2IP GRB2 HRAS KRAS LGALS1 LGALS3 NF1 NRAS PLCE1 PRKCA PRKCB PRKCE PRKCZ RABGEF1 RASA1 RASA2 RASAL1 RASGRF1 RASGRF2 RASGRP1 RASGRP2 RASGRP3 RASGRP4 RIN1 RRAS SOS1 SOS2 SYNGAP1
PID_REELIN_PATHWAY,AKT1 ARHGEF2 CBL CDK5 CDK5R1 CRKL DAB1 FYN GRIN2A GRIN2B GSK3B ITGA3 ITGB1 LRP8 LRPAP1 MAP1B MAP2K7 MAP3K11 MAPK8 MAPK8IP1 MAPT NCK2 PAFAH1B1 PIK3CA PIK3R1 RAP1A RAPGEF1 RELN VLDLR
PID_RETINOIC_ACID_PATHWAY,AKT1 CCNH CDK1 CDK7 CREBBP EP300 HDAC1 HDAC3 KAT2B MAPK1 MAPK14 MAPK3 MAPK8 MNAT1 NCOA1 NCOA2 NCOA3 NCOR2 NRIP1 PRKACA PRKCA PRKCG RARA RARB RARG RBP1 RXRA RXRB RXRG VDR
PID_RET_PATHWAY,BCAR1 CREB1 CRK DOK1 DOK4 DOK5 DOK6 FRS2 GAB1 GDNF GFRA1 GRB10 GRB2 GRB7 HRAS IRS1 IRS2 JUN MAPK1 MAPK3 MAPK8 NCK1 PDLIM7 PIK3CA PIK3R1 PRKACA PRKCA PTK2 PTPN11 PXN RAC1 RAP1A RASA1 RET RHOA SHANK3 SHC1 SOS1 SRC
PID_S1P_META_PATHWAY,ABCC1 GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAO1 GNAQ GNAZ S1PR1 S1PR2 S1PR3 S1PR4 S1PR5 SGPL1 SGPP1 SPHK1 SPHK2
PID_S1P_S1P1_PATHWAY,ABCC1 GNAI1 GNAI2 GNAI3 GNAO1 GNAZ ITGAV ITGB3 KDR MAPK1 MAPK3 PDGFB PDGFRB PLCB2 PLCG1 PTGS2 RAC1 RHOA S1PR1 SPHK1 VEGFA
PID_S1P_S1P2_PATHWAY,CDH5 ELK1 FOS GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAO1 GNAQ GNAZ IRS1 JUN MAPK1 MAPK14 MAPK3 MAPK8 PAK1 RAC1 RHOA S1PR2
PID_S1P_S1P3_PATHWAY,AKT1 AKT3 CXCR4 FLT1 GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAO1 GNAQ GNAZ ITGAV ITGB3 JAK2 MAPK1 MAPK3 PDGFB PDGFRB RAC1 RHOA S1PR1 S1PR2 S1PR3 SRC VEGFA
PID_SMAD2_3PATHWAY,CTDSP1 CTDSP2 CTDSPL KPNA2 KPNB1 MAP3K1 MAPK1 MAPK3 NUP153 NUP214 PIAS4 PPM1A SMAD2 SMAD3 SMAD4 TGFBRAP1 UBE2I
PID_SYNDECAN_1_PATHWAY,BSG CASK CCL5 COL10A1 COL11A1 COL11A2 COL12A1 COL13A1 COL14A1 COL15A1 COL16A1 COL17A1 COL1A1 COL1A2 COL2A1 COL3A1 COL4A1 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL6A1 COL6A2 COL6A3 COL7A1 COL8A1 COL8A2 COL9A1 COL9A2 COL9A3 HGF HPSE LAMA5 MAPK1 MAPK3 MET MMP1 MMP7 MMP9 PPIB PRKACA SDC1 SDCBP TGFB1
PID_SYNDECAN_2_PATHWAY,BAX CASK CASP3 CAV2 CSF2 EPB41 EPHB2 EZR FN1 GNB2L1 HRAS IL8 ITGA2 ITGA5 ITGB1 KNG1 LAMA1 LAMA3 MAPK1 MAPK3 MAPK8 MMP2 NF1 PRKACA PRKCD RASA1 RHOA SDC2 SDCBP SRC TGFB1 TNFRSF13B TRAPPC4
PID_SYNDECAN_3_PATHWAY,AGRP APH1A APH1B CASK CTTN EGFR FYN IL8 MC4R NCAN NCSTN POMC PSEN1 PSENEN PTN SDC3 SRC
PID_SYNDECAN_4_PATHWAY,ACTN1 ADAM12 CCL5 CXCL12 CXCR4 DNM2 F2 FGF2 FGF6 FGFR1 FN1 FZD7 GIPC1 ITGA5 ITGB1 LAMA1 LAMA3 MDK MMP9 NUDT16L1 PLG PRKCA PRKCD PTK2 RAC1 RHOA SDC4 SDCBP TFPI THBS1 TNC TNFRSF13B
PID_TCPTP_PATHWAY,ATR CREBBP CSF1 CSF1R EGF EGFR EIF2A EIF2AK2 GAB1 GRB2 HGF INS INSR ITGA1 ITGB1 JAK1 JAK3 KDR KPNA2 KPNB1 LMAN1 MET PDGFB PDGFRB PIAS1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTPN1 PTPN2 RAB4A SHC1 SOS1 SRC STAT1 STAT3 STAT5A STAT5B STAT6 VEGFA
PID_TCR_CALCIUM_PATHWAY,AKAP5 BATF3 CABIN1 CD40LG CREM CSF2 FASLG FOS FOSL1 IFNG IL2 IL2RA IL3 IL4 JUN JUNB NFATC1 NFATC2 NFATC3 POU2F1 PPP3CA PPP3CB PPP3R1 PRKACA PTGS2 RCAN1 RCAN2
PID_TCR_JNK_PATHWAY,CRK CRKL DBNL GRAP2 JUN LAT LCP2 MAP2K4 MAP3K1 MAP3K7 MAP3K8 MAP4K1 MAPK8 PRKCB
PID_TCR_RAS_PATHWAY,BRAF ELK1 FOS HRAS KRAS MAP2K1 MAP3K8 MAPK1 MAPK3 NRAS PRKCA PRKCB PTPN7 RAF1
PID_THROMBIN_PAR4_PATHWAY,F2 F2RL2 F2RL3 GNA11 GNA13 GNA14 GNA15 GNAQ GNB1 GNG2 MYL2 PLCB2 RHOA ROCK1 ROCK2
PID_TOLL_ENDOGENOUS_PATHWAY,BGN CD14 CHUK IKBKB IKBKG IRAK1 IRAK2 IRAK4 LY96 MYD88 RHOA S100A8 S100A9 TICAM1 TIRAP TLR1 TLR2 TLR3 TLR4 TLR6 VCAN
PID_TRAIL_PATHWAY,CASP10 CASP8 CFLAR CHUK DAP3 FADD IKBKB IKBKG MAP2K4 MAP3K1 MAPK1 MAPK3 MAPK8 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 RIPK1 SMPD1 TNFRSF10A TNFRSF10B TNFRSF10C TNFRSF10D TNFSF10 TRADD TRAF2
PID_UPA_UPAR_PATHWAY,BCAR1 CRK CTRC CTSG DOCK1 EGFR ELANE FGA FGB FGG FN1 FPR1 FPR2 FPR3 GPLD1 HGF ITGA3 ITGA5 ITGAM ITGAV ITGB1 ITGB2 ITGB3 ITGB5 KLK4 LRP1 MMP13 MMP3 MMP9 NCL PDGFD PDGFRB PLAU PLAUR PLG RAC1 SERPINE1 SRC TGFB1 VLDLR VTN
PID_VEGFR1_PATHWAY,AKT1 CAV1 CBL CD2AP FLT1 HIF1A HSP90AA1 MAPK1 MAPK3 NCK1 NOS3 NRP1 NRP2 PDPK1 PGF PIK3CA PIK3R1 PLCG1 PRKACA PRKCA PRKCB PTPN11 RASA1 SHC2 VEGFA VEGFB
PID_VEGF_VEGFR_PATHWAY,FIGF FLT1 FLT4 KDR NRP1 NRP2 PGF VEGFA VEGFB VEGFC
PID_WNT_CANONICAL_PATHWAY,APC AXIN1 CAV1 CSNK1G1 CTNNB1 CUL3 DVL1 DVL2 DVL3 FZD5 GSK3A GSK3B KLHL12 LRP6 NKD2 PI4K2A PIP5K1B PPP2R5A RANBP3 WNT3A
PID_WNT_NONCANONICAL_PATHWAY,ARRB2 CAMK2A CDC42 CHD7 CSNK1A1 CTHRC1 DAAM1 DVL1 DVL2 DVL3 FLNA FZD2 FZD5 FZD6 FZD7 MAP3K7 MAPK10 MAPK8 MAPK9 NFATC2 NLK PPARG PRKCZ RAC1 RHOA ROCK1 ROR2 SETDB1 TAB1 TAB2 WNT5A YES1
PID_WNT_SIGNALING_PATHWAY,ATP6AP2 CTHRC1 DKK1 FZD1 FZD10 FZD2 FZD4 FZD5 FZD6 FZD7 FZD8 FZD9 IGFBP4 KREMEN1 KREMEN2 LRP5 LRP6 ROR2 RSPO1 WIF1 WNT1 WNT2 WNT3 WNT3A WNT5A WNT7A WNT7B
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,ABCB1 ABCG2 ADAL ADH1A GUK1 NT5C2 PCK1 SLC22A1 SLC22A2 SLC22A3
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,CHAT RAB3A RIMS1 SLC18A3 SLC5A7 SNAP25 STX1A STXBP1 SYT1 VAMP2
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE,ACACB ACSL1 CAB39 CAB39L CPT1A CPT1B CPT2 PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKAG1 PRKAG2 PRKAG3 SLC25A20 STK11 STRADA STRADB
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,IKBKG IRAK1 IRAK2 MAP2K3 MAP2K6 MAP3K7 MAPK11 MAPK14 MAPKAPK2 MAPKAPK3 NOD1 NOD2 RIPK2 TAB1 TAB2 TAB3 TRAF6
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,AKT1 BAD BBC3 BCL2 BCL2L11 BID BMF DYNLL2 E2F1 MAPK8 PMAIP1 PPP3R1 TFDP1 TP53 YWHAB
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S,ACADVL ADD1 ARFGAP1 ATP6V0D1 CTDSP2 CUL7 CXXC1 DCTN1 DDX11 DNAJB11 DNAJB9 DNAJC3 EDEM1 EXTL3 FKBP14 GOSR2 GSK3A HDGF HYOU1 KDELR3 KLHDC3 LMNA PDIA5 PDIA6 PPP2R5B PREB SEC31A SERP1 SHC1 SRPR SRPRB SSR1 SYVN1 TATDN2 TLN1 TPP1 TSPYL2 WFS1 WIPI1 XBP1 YIF1A ZBTB17
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,CD14 IKBKE IRF3 IRF7 LY96 TBK1 TICAM1 TLR3 TLR4 TRAF3 UBA52
REACTOME_ACTIVATION_OF_RAC,GPC1 NCK1 NCK2 PAK1 PAK2 PAK4 PAK6 PAK7 RAC1 ROBO1 SLIT2 SOS1 SOS2
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,ATF2 FOS JUN MAPK1 MAPK10 MAPK11 MAPK14 MAPK3 MAPK8 MAPK9
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1,GNA11 GNA14 GNA15 GNAQ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG7 GNG8 GNGT1 GNGT2 MAPK14 P2RY1 PLA2G4A SRC
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,AGER APP CAPZA1 CAPZA2 DDOST LGALS3 MAPK1 MAPK3 PRKCSH S100A12 S100B
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3A MDM2 TSC2
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM,ABCD1 ACAA1 ACOT8 ACOX1 ACSL1 ELOVL2 ELOVL5 FADS1 FADS2 HSD17B4 SCP2
REACTOME_AMINE_DERIVED_HORMONES,AANAT CGA DBH DDC DIO1 DIO2 DIO3 IYD PNMT SLC5A5 TH TPH1 TPH2 TPO TSHB
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS,SLC15A1 SLC15A2 SLC15A3 SLC15A4 SLC16A10 SLC17A1 SLC17A5 SLC17A6 SLC17A7 SLC17A8 SLC1A1 SLC1A2 SLC1A3 SLC1A4 SLC1A5 SLC1A6 SLC1A7 SLC25A10 SLC32A1 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC43A2 SLC5A5 SLC5A8 SLC6A12 SLC6A14 SLC6A15 SLC6A18 SLC6A19 SLC6A20 SLC6A6 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION,ALDH18A1 ASNS CCBL1 GLS GLS2 GLUD1 GLUL GOT1 GOT2 GPT GPT2 OAT PHGDH PSAT1 PSPH PYCR1
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,SLC16A10 SLC1A4 SLC1A5 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC43A2 SLC6A12 SLC6A14 SLC6A15 SLC6A18 SLC6A19 SLC6A20 SLC6A6 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9
REACTOME_ANDROGEN_BIOSYNTHESIS,CGA CYP17A1 HSD17B3 HSD3B1 HSD3B2 LHB POMC SRD5A1 SRD5A3
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,BLK BLNK BTK CALM1 CALM3 CBL CBLB CD19 CD79A CD79B FYN GRB2 ITPR2 ITPR3 LYN NCK1 ORAI1 PIK3AP1 PIK3CD PIK3R1 PLCG1 PLCG2 SH3KBP1 SHC1 SOS1 STIM1 SYK VAV1
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,B2M CALR CANX ERAP1 HLA-B HLA-F HLA-G HSPA5 PDIA3 SAR1B SEC13 SEC23A SEC24B SEC24C SEC24D SEC31A TAP1 TAP2
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC5 ANAPC7 BUB1B BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBA52 UBE2C UBE2D1 UBE2E1
